"id";"name";"abbreviation"
1;"Archaebacterial membrane";"Archaebac."
2;"Bacterial Gram-negative inner membrane";"Bact. Gram-neg inner"
3;"Bacterial Gram-negative outer membrane";"Bact. Gram-neg outer"
4;"Eukaryotic plasma membrane";"Eukaryo. plasma"
5;"Mitochondrial inner membrane";"Mitochon. inner"
6;"Endoplasmic reticulum membrane";"Endoplasm. reticulum"
7;"Thylakoid membrane";"Thylakoid"
8;"Bacterial Gram-positive plasma membrane";"Bact. Gram-pos plas."
9;"Golgi membrane";"Golgi"
10;"Nuclear inner membrane";"Nuclear inner"
11;"Peroxisome membrane";"Peroxisome"
12;"Endosome membrane";"Endosome"
13;"Vacuole membrane";"Vacuole"
14;"Vesicle membrane";"Vesicle"
15;"Viral membrane";"Viral"
16;"Chloroplast inner membrane";"Chloroplast inner"
17;"Chloroplast outer membrane";"Chloroplast outer"
19;"Mitochondrial outer membrane";"Mitochon. outer"
22;"Bacterial Gram-positive outer membrane";"Bact. Gram-pos cell wall"
23;"Secreted";"Secreted"
24;"Lysosome membrane";"Lysosome"
25;"Nuclear outer membrane";"Nuclear outer"
26;"Undefined";"Undefined"
27;"Cytoplasmic granule membrane";""
